Geneset.ID	enhancer.pvalue	enhancer.Effect	promoter.pvalue	promoter.Effect	polyenrich.pvalue	polyenrich.Effect
GO:0006396	1.09901232862183e-05	-4.39671551960127	3.27015043844974e-08	5.52632128420807	1.35325429456411e-20	0.686850475678591
GO:0006886	0.00653995188764772	-2.71940479402516	0.0039454517781071	2.88249038428596	1.07572081096089e-19	0.617335166458438
GO:0046907	0.00340565353143191	-2.92853329735465	0.000387112781451928	3.54871706964513	1.36971966523996e-19	0.530702394633134
GO:0000278	0.0204343437966636	-2.31827567041659	0.000560988176222555	3.44980665708729	2.67426530382411e-17	0.614711983745356
GO:0051649	0.140208862951098	-1.47501368985129	0.106369067717435	1.61473050844573	3.4234403316833e-17	0.468268261509056
GO:0044265	0.00213887718588577	-3.07023874768074	0.00721864027784909	2.68658581429103	8.51683820771858e-17	0.612318659766361
GO:0034613	0.0264536681350071	-2.21948615445876	0.0256760637557779	2.23107647488321	9.11381937139733e-17	0.488206605787381
GO:0070727	0.0165361606210064	-2.39686177058959	0.0174022817474695	2.37809627351534	9.60364487649587e-17	0.48679729202694
GO:1903047	0.0311838243628003	-2.15471907281373	0.00100926835906936	3.28793026437447	1.69491960973794e-16	0.62091230404328
GO:0007049	0.104447447514411	-1.62366442482542	0.0171145868295373	2.38423677461063	6.71342603016995e-16	0.478230800792241
GO:0022402	0.174300164998903	-1.35851550838185	0.00325381283869804	2.94268312157361	8.21728438937994e-16	0.525803557489649
GO:0009057	0.00458981673607738	-2.83449506137068	0.0400019960665778	2.0537282982694	3.86551445902467e-15	0.535041275440691
GO:0015031	0.0149139346635325	-2.43446226860023	0.00301947566949693	2.96574822708931	4.4412818386903e-15	0.442106305676051
GO:0033365	0.00408173457166445	-2.87177500930272	0.0686396421770041	1.82078436307676	5.07621711720329e-15	0.591166568987874
GO:0016071	0.000306353370796484	-3.60986757132461	1.49938964644611e-05	4.32877802260273	8.67372900044432e-15	0.653669636315263
