unif bylength
0.00104943828060271 3.72384473850734e-09
0.00167097801367289 2.7141618910702e-08
0.00232858044238204 1.15890598667634e-07
0.00278150389610541 2.11754255116444e-07
0.00315791244252312 5.20791170772683e-07
0.00357098094424705 9.42400126399362e-07
0.00389679966197458 1.57113624034468e-06
0.00421360204609234 1.84594487785272e-06
0.00460570525952536 2.20783719198113e-06
0.00491022503730467 3.23241611047472e-06
0.00521817697652496 4.5294321011581e-06
0.00570643561988409 5.91534243364111e-06
0.00618385274930173 6.61556168078469e-06
0.00659148782655878 8.16246792918562e-06
0.0069816422758804 9.08162107763017e-06
0.007413022990769 1.1706342224435e-05
0.00794580221068641 1.33004407373399e-05
0.00826815182998078 1.59426595832161e-05
0.00868316249886042 1.78426419009938e-05
0.00925924792229346 2.05796064240312e-05
0.00959809871254973 2.19215923740049e-05
0.0101174195868529 2.36125151190066e-05
0.0107070926797397 2.63464565080566e-05
0.011101627669096 2.83942173531164e-05
0.0114374309876127 2.9656890690993e-05
0.0117441237061561 3.76407826453152e-05
0.0119937318977366 4.19585121663898e-05
0.0122669741105157 4.58997147356344e-05
0.0125440429440862 5.07462581071736e-05
0.0127784485207517 5.80718509086424e-05
0.0130718769059016 6.40489954447196e-05
0.0134623541016577 7.25153398654539e-05
0.0138846669082261 8.05483209823975e-05
0.0142633086243347 8.66528456314414e-05
0.0145397842838183 9.12737906297465e-05
0.0149013044027897 9.74522427004502e-05
0.0153273692197583 0.000107272235565368
0.0157583800481378 0.00011182183199136
0.0161363649829995 0.000126325650927139
0.0162219259166506 0.000130708124058445
0.0162620726062557 0.000136096112803844
0.0164054478870117 0.0001444447942467
0.0166837332671948 0.000150245169370035
0.0171296885463172 0.000159540247180289
0.0177054022888272 0.000170913055499986
0.0182187975352895 0.00018069984960504
0.0185699342704777 0.00019189822699883
0.0188877566216671 0.000200014854136338
0.0191560433161738 0.000208938312833038
0.0194417378703028 0.000219706070609259
0.0197890527379305 0.000228987168829325
0.0201231050037364 0.000237825764752418
0.0203803125056341 0.000249806518439827
0.0205760336417948 0.000260034204164846
0.0209239518727805 0.00027019769545755
0.0213091349078734 0.000278700133442479
0.0215867795747668 0.000296607727427114
0.021786587518094 0.000313108669195989
0.0219468038503711 0.000338990177764628
0.0221015918770504 0.000353538839229841
0.0222771940651658 0.000356742875319512
0.0226552145252119 0.000379017735825334
0.0231194364515935 0.000390905874523425
0.0233928883979379 0.000399131775817829
0.0236395647131172 0.000415418054314184
0.0239833775924563 0.000433322524878288
0.0243081144940006 0.000453236018417148
0.0245674539583764 0.00046711949627846
0.0249367190245078 0.000484178255121505
0.0253724421794418 0.000500734725337002
0.0257258068784839 0.000515507868316896
0.0261117420768792 0.00053873595122428
0.026486076572927 0.000563915343270662
0.0266967148172527 0.000604189010296585
0.0268732258571224 0.000621290969109505
0.0271082516514091 0.000636953983688827
0.0274068174762771 0.000679016260645925
0.027655692555377 0.000702417431194679
0.0278823282377448 0.000722200256242235
0.02827412442329 0.000750926103445459
0.028605705371995 0.0007878830397338
0.028924873372639 0.000796039606140548
0.0292345554335037 0.000805390314435871
0.0294007277821879 0.000822231941102391
0.0295930000327699 0.000851663032061704
0.0297637433760008 0.000887353092524565
0.0299709974394788 0.000897043758404959
0.0302893793533517 0.000922613039418306
0.0305568390212614 0.00095935884056468
0.030775743901666 0.000988930941890736
0.0311567862152516 0.0010160730934203
0.0315535555131945 0.00104066903289966
0.0318005145769856 0.00106064955745154
0.031990614826903 0.00107339092471512
0.0322316988571333 0.00110451841868941
0.0324755808826424 0.00113297787820556
0.032639837167714 0.00116210713257719
0.0328159195102026 0.00121402142143721
0.0329871045441262 0.00125826739126682
0.0332519361682542 0.00130685368394988
0.0336028303856966 0.00132529139358836
0.0339907224976188 0.00133267930674881
0.0343531813265163 0.00134161443979885
0.0345771537827312 0.00137366544141869
0.034805212256109 0.0013861960928361
0.0350434768579691 0.00141639781951577
0.0352616386273295 0.00144302447852898
0.0354861454419088 0.0014669558988829
0.0356749559706585 0.00147691913673371
0.0358986834915182 0.00151974581304076
0.036127398937029 0.0015542759762697
0.0363083885126505 0.00158061368588252
0.0365751216845686 0.00160043510172851
0.0368639422813597 0.00164177195440182
0.0371078712910786 0.00167591090418785
0.03740587997817 0.00172957628498682
0.0376536951137858 0.00176404347003276
0.0379042129898528 0.00181510431422945
0.0382346515056915 0.00185826640533746
0.0386823130360512 0.00187436027103994
0.0389789758849873 0.00192654824353946
0.0392105712642205 0.00197811168233078
0.0396293011151015 0.00201055503397968
0.0399803196760327 0.00205238265282069
0.0402059122882354 0.00209155405671821
0.0404967483610094 0.00212593572794229
0.0409011908853645 0.00215368154662843
0.0411102785415966 0.00218464014219455
0.0412485735497947 0.00221629395798583
0.0414932769758989 0.00225256903054362
0.0417122256020298 0.00231526968981299
0.0418728755531628 0.00234852731179286
0.042245184393213 0.00236803472568772
0.0427501158740125 0.00239755386361011
0.0429802918263679 0.0024256738499936
0.0431757549311446 0.00246587923283479
0.0433551240180102 0.00249162853724732
0.0436238580448713 0.00253450546857218
0.0441824184209996 0.00255654765442995
0.0446552667716369 0.00258255771602734
0.0448837265766178 0.00262119724762432
0.0451691371835023 0.00265861258778765
0.0454816278089803 0.00267936167636181
0.0458083401009975 0.00273540622155625
0.0461719091291026 0.0027800424607409
0.0464091545742424 0.0028269013627741
0.0466039752529545 0.00285105778686045
0.0468895748676068 0.00285864612813204
0.0472666515342268 0.00285864612813204
0.0475978808487156 0.00291723859707763
0.0478248700573947 0.00297405926375016
0.0481607342256254 0.00302360180111201
