unif bylength
0.000100049675660112 3.00936990445485e-14
0.000330073540000042 9.25827567596516e-13
0.000436931678855178 5.62713877147908e-12
0.000636729712106761 2.09870396629182e-11
0.00075365275973797 6.84411379211478e-11
0.000941426674420555 1.13979843506853e-10
0.00106601854304892 1.48273919386308e-10
0.00133965910833568 2.36425996357415e-10
0.00143711681277907 2.66974785902379e-10
0.00156912999743901 4.04549194876499e-10
0.00174347171722412 6.53083908778553e-10
0.00186996939908482 8.38264472322758e-10
0.00212223440968492 1.21542474689631e-09
0.00244062865782752 1.68041317503512e-09
0.00266042972396812 2.18388708346155e-09
0.00278210022330144 2.75984880100417e-09
0.00299305105548764 3.88179243817771e-09
0.00318448583389403 4.65835340127942e-09
0.00340102285040539 5.73475169657257e-09
0.00353929356700797 7.34384695317077e-09
0.00363619598415608 9.33790389220625e-09
0.00372373079462569 1.31951075690957e-08
0.00398587708013717 1.656002134933e-08
0.00424037716311256 2.0307033968415e-08
0.00434351182093097 2.44055744876924e-08
0.00446776325268679 3.37495610212355e-08
0.00463273958767079 4.18848671821922e-08
0.00483645652994199 5.17457864164225e-08
0.00492092347353746 6.01681778284731e-08
0.00502160338953353 7.40210696279172e-08
0.00518622456273388 8.26997568629179e-08
0.00535319126281706 9.76619272994126e-08
0.00549623011681151 1.09764335302728e-07
0.00570699793006759 1.37393626420539e-07
0.00594710499660081 1.59391644705618e-07
0.00609013857291678 1.84752060923754e-07
0.00622369684671775 2.11377077832163e-07
0.00641538615502598 2.39877419455357e-07
0.00674925549072738 2.88620166773218e-07
0.00694693880258866 3.29719647780689e-07
0.00704027066422506 3.55124766377179e-07
0.00715566030561007 4.15973966334827e-07
0.00737045797924961 4.72309622207825e-07
0.00746396793318328 5.46764596878049e-07
0.00760012551464853 6.05167083618737e-07
0.00777930184278967 6.55792998221212e-07
0.00801758732013561 7.11377477149473e-07
0.00814977507403642 7.69954607719269e-07
0.00849382359859537 8.91337312424102e-07
0.00886131566118993 9.49473811091943e-07
0.00906805169420472 1.04789762446542e-06
0.00917324658814383 1.13079379399285e-06
0.00926516810731149 1.22914705977174e-06
0.00951199556629647 1.29893418475136e-06
0.00964095823153202 1.44782518060297e-06
0.009879043197079 1.61842642294195e-06
0.0100594228888723 1.7924474194857e-06
0.0103267103059458 1.98547113715718e-06
0.0104763371227198 2.10362154039828e-06
0.0106873891054355 2.2599098181986e-06
0.0107556186531357 2.4563946815153e-06
0.0109663832429961 2.51130691591173e-06
0.0112337038130645 2.66913169527346e-06
0.011377388775267 2.93954808503509e-06
0.0117016697891251 3.09337619964945e-06
0.0117982635514958 3.35202050166668e-06
0.0119462106642987 3.7241655136468e-06
0.0122121315706653 3.90544188662139e-06
0.0123490174868085 4.14372599610917e-06
0.012470723929382 4.41529323711853e-06
0.0126438408905162 4.89677487968908e-06
0.0128111504767254 5.14094418010215e-06
0.0130572373762413 5.32813925558455e-06
0.0132458093090268 5.67995020873897e-06
0.0134380196088318 5.98606243908502e-06
0.0136521637838378 6.55437023683883e-06
0.0137938687200994 7.00300458265052e-06
0.0141029451786598 7.55548033140879e-06
0.0144028384399677 8.06593869437632e-06
0.0146022706772851 8.58600610386427e-06
0.0149885008532297 9.1051906137812e-06
0.0152471275084601 9.54853241908635e-06
0.0155583713057409 1.00374365520989e-05
0.0156921940735896 1.03953034071892e-05
0.0159018359281698 1.05981326134298e-05
0.0160882559943443 1.1073658185976e-05
0.0162740057462035 1.13368992374961e-05
0.0165417306540865 1.21781857932736e-05
0.0166743643675352 1.27837974538389e-05
0.0168477121698082 1.3872435347944e-05
0.0169878126608568 1.4973588283716e-05
0.0171275634514698 1.65274030553149e-05
0.0173016230476638 1.71317168552304e-05
0.0174822243737067 1.7885612698378e-05
0.0176300937932717 1.89568073742598e-05
0.0178547239194648 1.98770075349036e-05
0.0180415620141477 2.0769088573246e-05
0.0183385767892196 2.12891034074083e-05
0.0185580276819484 2.20156165516918e-05
0.0188894750465951 2.45149187427829e-05
0.0190089520770134 2.53678170860787e-05
0.0192134727817632 2.66438952906678e-05
0.0193594700743017 2.72511572908979e-05
0.0196555979015542 2.84544794906975e-05
0.0198649359603046 2.9888032003255e-05
0.0199801334371943 3.14220169667773e-05
0.0200717165661124 3.22782367617191e-05
0.0202246236875616 3.42497288407791e-05
0.0204067959399365 3.55917076291921e-05
0.0205071189693849 3.68046117113643e-05
0.0207430390520222 3.89349134711466e-05
0.0209088873873936 4.08846973321993e-05
0.0210574630671635 4.20073779869705e-05
0.0213052052864139 4.33490286820964e-05
0.0215633293010813 4.42203188738816e-05
0.0218439281708378 4.62141023338032e-05
0.0220830373565939 4.74282534267777e-05
0.022171409438393 4.89342516712744e-05
0.022380638514321 5.11673400862208e-05
0.0226637130494985 5.32160675252158e-05
0.0228325671602993 5.43767116380004e-05
0.0229829744076346 5.60802397245787e-05
0.0231070604238915 5.84941614444925e-05
0.0232483318966881 5.96485312294496e-05
0.0233891666173075 6.16638764158735e-05
0.0235175383761666 6.3226332729065e-05
0.0238096010902862 6.5053095753822e-05
0.0239343078561914 6.67720113721586e-05
0.024120084036213 6.90554725620491e-05
0.0242534313937785 7.12537900167267e-05
0.0243598019584897 7.48846189489808e-05
0.0246310052194923 7.86030530441234e-05
0.0247675511422349 8.09301988040283e-05
0.0249349547179616 8.44958434946038e-05
0.0250309785658064 8.65530824484051e-05
0.0252275609807888 8.83736861001566e-05
0.0253604513116591 9.13369939205142e-05
0.0255957411924502 9.30719748540709e-05
0.0258042004343097 9.5428960858272e-05
0.0259752997489766 9.72852207527268e-05
